epoch,acc,auroc,loss,val_acc,val_auroc,val_loss
0,0.7368845,0.49542898,4.5227447545370065,0.73215246,0.5000354,3.5863386675462885
1,0.73540854,0.4927593,4.4164026201643045,0.73215246,0.49287075,3.7780025712514327
2,0.680263,0.50007474,5.299538386455082,0.73215246,0.5,4.4061022168498925
3,0.7391654,0.49636903,4.256524306918797,0.73215246,0.49263728,4.352153345689935
